fundo_cnpj,data,pl,valor_cota,captacao_dia,resgate_dia,cotistas
03919474000120,2025-01-03,105116.91,101.57905573,0.0,0.0,3
03919474000120,2025-01-06,105138.07,101.59950356,0.0,0.0,3
03919474000120,2025-01-07,105159.26,101.61998038,0.0,0.0,3
03919474000120,2025-01-08,105180.46,101.64046687,0.0,0.0,3
03919474000120,2025-01-09,105201.67,101.66096302,0.0,0.0,3
03919474000120,2025-01-10,105222.9,101.68147849,0.0,0.0,3
03919474000120,2025-01-13,105244.14,101.70200363,0.0,0.0,3
03919474000120,2025-01-14,105265.41,101.72255776,0.0,0.0,3
03919474000120,2025-01-15,105286.68,101.74311189,0.0,0.0,3
03919474000120,2025-01-16,105307.97,101.76368534,0.0,0.0,3
03919474000120,2025-01-17,105329.28,101.78427813,0.0,0.0,3
03919474000120,2025-01-20,105350.6,101.80488057,0.0,0.0,3
03919474000120,2025-01-21,105371.94,101.82550235,0.0,0.0,3
03919474000120,2025-01-22,105393.3,101.84614345,0.0,0.0,3
03919474000120,2025-01-23,105414.67,101.86679421,0.0,0.0,3
03919474000120,2025-01-24,105436.05,101.88745464,0.0,0.0,3
03919474000120,2025-01-27,105457.45,101.90813439,0.0,0.0,3
03919474000120,2025-01-28,105478.87,101.92883347,0.0,0.0,3
03919474000120,2025-01-29,105500.3,101.94954221,0.0,0.0,3
03919474000120,2025-01-30,105521.75,101.97027028,0.0,0.0,3
03919474000120,2025-01-31,105543.21,101.99100802,0.0,0.0,3
03919474000120,2025-02-03,105564.69,102.01176508,0.0,0.0,3
03919474000120,2025-02-04,105586.18,102.0325318,0.0,0.0,3
03919474000120,2025-02-05,105607.7,102.05332752,0.0,0.0,3
03919474000120,2025-02-06,105629.22,102.07412323,0.0,0.0,3
03919474000120,2025-02-07,105650.76,102.09493827,0.0,0.0,3
03919474000120,2025-02-10,105672.32,102.11577264,0.0,0.0,3
03919474000120,2025-02-11,105710.81,102.15296721,0.0,0.0,3
03919474000120,2025-02-12,105740.87,102.1820155,0.0,0.0,3
03919474000120,2025-02-13,105770.95,102.21108311,0.0,0.0,3
03919474000120,2025-02-14,105801.06,102.24017972,0.0,0.0,3
03919474000120,2025-02-17,105831.19,102.26929565,0.0,0.0,3
03919474000120,2025-02-18,105861.34,102.29843092,0.0,0.0,3
03919474000120,2025-02-19,105891.52,102.32759517,0.0,0.0,3
03919474000120,2025-02-20,105921.72,102.35677874,0.0,0.0,3
03919474000120,2025-02-21,105951.94,102.38598165,0.0,0.0,3
03919474000120,2025-02-24,105982.18,102.41520388,0.0,0.0,3
03919474000120,2025-02-25,106012.45,102.4444551,0.0,0.0,3
03919474000120,2025-02-26,106042.75,102.47373531,0.0,0.0,3
03919474000120,2025-02-27,106073.06,102.50302519,0.0,0.0,3
03919474000120,2025-02-28,106103.4,102.53234405,0.0,0.0,3
03919474000120,2025-03-05,106133.69,102.5616146,0.0,0.0,3
03919474000120,2025-03-06,106164.35,102.5912427,0.0,0.0,3
03919474000120,2025-03-07,106195.03,102.62089012,0.0,0.0,3
03919474000120,2025-03-10,106225.74,102.65056653,0.0,0.0,3
03919474000120,2025-03-11,106256.46,102.68025261,0.0,0.0,3
03919474000120,2025-03-12,106287.21,102.70996767,0.0,0.0,3
03919474000120,2025-03-13,106317.99,102.73971173,0.0,0.0,3
03919474000120,2025-03-14,106348.78,102.76946545,0.0,0.0,3
03919474000120,2025-03-17,106379.61,102.79925782,0.0,0.0,3
03919474000120,2025-03-18,106410.45,102.82905986,0.0,0.0,3
03919474000120,2025-03-19,106441.32,102.85889089,0.0,0.0,3
03919474000120,2025-03-20,106472.21,102.88874124,0.0,0.0,3
03919474000120,2025-03-21,106503.13,102.91862059,0.0,0.0,3
03919474000120,2025-03-24,106534.06,102.9485096,0.0,0.0,3
03919474000120,2025-03-25,106565.03,102.97843726,0.0,0.0,3
03919474000120,2025-03-26,106596.01,103.00837459,0.0,0.0,3
03919474000120,2025-03-27,106627.02,103.0383409,0.0,0.0,3
03919474000120,2025-03-28,106658.05,103.06832654,0.0,0.0,3
03919474000120,2025-03-31,106689.11,103.09834118,0.0,0.0,3
03919474000120,2025-04-01,106720.19,103.12837514,0.0,0.0,3
03919474000120,2025-04-02,106751.3,103.15843809,0.0,0.0,3
03919474000120,2025-04-03,106782.42,103.1885107,0.0,0.0,3
03919474000120,2025-04-04,106813.58,103.21862197,0.0,0.0,3
03919474000120,2025-04-07,106844.75,103.2487429,0.0,0.0,3
03919474000120,2025-04-08,106882.74,103.28545429,0.0,0.0,3
03919474000120,2025-04-09,106917.37,103.31891877,0.0,0.0,3
03919474000120,2025-04-10,106952.02,103.35240258,0.0,0.0,3
03919474000120,2025-04-11,106986.69,103.38590571,0.0,0.0,3
03919474000120,2025-04-14,107021.4,103.4194475,0.0,0.0,3
03919474000120,2025-04-15,107056.13,103.45300861,0.0,0.0,3
03919474000120,2025-04-16,107090.89,103.48659872,0.0,0.0,3
03919474000120,2025-04-17,107125.68,103.52021781,0.0,0.0,3
03919474000120,2025-04-22,107160.49,103.55385623,0.0,0.0,3
03919474000120,2025-04-23,107247.04,103.63749327,0.0,0.0,3
03919474000120,2025-04-24,107281.94,103.67121867,0.0,0.0,3
03919474000120,2025-04-25,107316.86,103.70496339,0.0,0.0,3
03919474000120,2025-04-28,107351.81,103.7387371,0.0,0.0,3
03919474000120,2025-04-29,107386.79,103.7725398,0.0,0.0,3
03919474000120,2025-04-30,107421.79,103.80636182,0.0,0.0,3
